listing_id,listing_lat,listing_lon,listing_name,mrt_label,mrt_lat,mrt_lon,mrt_dist_m,bus_label,bus_lat,bus_lon,bus_dist_m,attraction_label,attraction_lat,attraction_lon,attraction_dist_m
1.19e+18,1.310674448,103.8793441,A17 Bedrooms Kallang Central City,MOUNTBATTEN MRT STATION,1.306201905,103.8825281,610,80251.0,1.310094874,103.879925,91,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,2022
1.19e+18,1.31048,103.87778,C13 Bedrooms Kallang Central City,MOUNTBATTEN MRT STATION,1.306201905,103.8825281,711,80069.0,1.312147033,103.8771502,198,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,1856
1.19e+18,1.310915039,103.8774526,Z16 Bedrooms Kallang Central City,KALLANG MRT STATION,1.31148891,103.8713865,677,80069.0,1.312147033,103.8771502,141,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,1847
1.19e+18,1.312538638,103.8775269,C12 Bedrooms Kallang Central City,KALLANG MRT STATION,1.31148891,103.8713865,693,80069.0,1.312147033,103.8771502,60,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,1946
1.19e+18,1.312671418,103.8787188,B18 Bedrooms Kallang Central City,ALJUNIED MRT STATION,1.316432612,103.882906,626,80069.0,1.312147033,103.8771502,184,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,2066
1.19e+18,1.312000848,103.8774172,Z15 Bedrooms Kallang Central City,KALLANG MRT STATION,1.31148891,103.8713865,673,80069.0,1.312147033,103.8771502,34,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,1904
1.19e+18,1.31048,103.87753,A14 Bedrooms Kallang Central City,KALLANG MRT STATION,1.31148891,103.8713865,692,80119.0,1.309920655,103.8759981,181,Hajjah Fatimah Mosque,1.30299999989835,103.862850000017,1832
1.2e+18,1.313023749,103.8841227,e Cozy room Aljunied Geylang,ALJUNIED MRT STATION,1.316432612,103.882906,402,81029.0,1.313598696,103.8849753,114,Eurasian Heritage Centre: Singapore Attraction,1.30999999987936,103.899420000077,1733
1.2e+18,1.3099741,103.8353518,Luxury condo in orchard road,NEWTON MRT STATION,1.3123201,103.8379853,392,40171.0,1.31095172,103.835821,121,"Orchard Road, Singapore: Asia's Most Famous Shopping Street",1.30399999967044,103.832489999886,737
1.21e+18,1.296,103.84003,New BR Apartment WIFI SomersetOrchard Area,SOMERSET MRT STATION,1.300252877,103.8391583,483,13099.0,1.295780242,103.8396127,52,Hong San See Temple Singapore,1.29300000019576,103.841222000429,359
1.21e+18,1.38633964,103.742915,starlight,CHOA CHU KANG MRT STATION,1.385363165,103.7443708,195,45239.0,1.385073077,103.7424208,151,Kranji War Memorial Landmark in Singapore,1.41899999993219,103.757490000067,3977
1.21e+18,1.3163713,103.8271781,Cosy Bedroom Service Apartment,STEVENS MRT STATION,1.320065558,103.8260244,430,40219.0,1.31703698,103.8260595,145,Singapore Botanic Gardens,1.31399999971771,103.81591400038,1280
1.21e+18,1.31333663,103.8799472,Common room,ALJUNIED MRT STATION,1.316432612,103.882906,476,80089.0,1.312744836,103.8808052,116,Eurasian Heritage Centre: Singapore Attraction,1.30999999987936,103.899420000077,2196
1.22e+18,1.355081644,103.8336372,Room Thomson village,UPPER THOMSON MRT STATION,1.354416434,103.8328985,111,53051.0,1.354496944,103.8324744,145,MacRitchie Singapore & Singapore Nature Reserve,1.34499999994054,103.822346000248,1683
